,Babysitterid,Babysitter_Skills_Totalnum,Child_Needs_Totalnum,Babysitter_Relevant_Skills_num,Favorites_totalnum,Babysitter_Total_Reviews_got
0,1000,1,1,0,0,0
1,1001,1,1,0,0,0
2,1002,1,1,0,0,1
3,1003,1,1,0,0,0
4,1004,1,1,0,0,0
5,1005,1,1,0,0,0
6,1006,1,1,0,0,0
7,1007,1,1,0,0,0
8,1008,1,1,1,1,0
9,1009,1,1,0,0,0
10,1000,1,1,1,0,0
11,1001,1,1,0,0,0
12,1002,1,1,0,0,1
13,1003,1,1,0,0,0
14,1004,1,1,0,0,0
15,1005,1,1,0,0,0
16,1006,1,1,0,0,0
17,1007,1,1,0,0,0
18,1008,1,1,0,1,0
19,1009,1,1,0,0,0
20,1000,1,1,0,0,0
21,1001,1,1,0,0,0
22,1002,1,1,0,0,1
23,1003,1,1,0,0,0
24,1004,1,1,0,0,0
25,1005,1,1,0,0,0
26,1006,1,1,0,0,0
27,1007,1,1,0,0,0
28,1008,1,1,0,1,0
29,1009,1,1,0,0,0
30,1000,1,1,0,0,0
31,1001,1,1,0,0,0
32,1002,1,1,0,0,1
33,1003,1,1,0,0,0
34,1004,1,1,0,0,0
35,1005,1,1,0,0,0
36,1006,1,1,0,0,0
37,1007,1,1,0,0,0
38,1008,1,1,0,1,0
39,1009,1,1,0,0,0
40,1000,1,3,2,0,0
41,1001,1,3,0,0,0
42,1002,1,3,0,0,1
43,1003,1,3,0,0,0
44,1004,1,3,0,0,0
45,1005,1,3,0,0,0
46,1006,1,3,0,0,0
47,1007,1,3,0,0,0
48,1008,1,3,0,1,0
49,1009,1,3,1,0,0
50,1000,1,1,1,0,0
51,1001,1,1,0,0,0
52,1002,1,1,0,0,1
53,1003,1,1,0,0,0
54,1004,1,1,0,0,0
55,1005,1,1,0,0,0
56,1006,1,1,0,0,0
57,1007,1,1,0,0,0
58,1008,1,1,0,1,0
59,1009,1,1,0,0,0
60,1000,1,1,0,0,0
61,1001,1,1,0,0,0
62,1002,1,1,0,0,1
63,1003,1,1,0,0,0
64,1004,1,1,0,0,0
65,1005,1,1,0,0,0
66,1006,1,1,0,0,0
67,1007,1,1,1,0,0
68,1008,1,1,0,1,0
69,1009,1,1,0,0,0
70,1000,1,1,0,0,0
71,1001,1,1,0,0,0
72,1002,1,1,0,0,1
73,1003,1,1,0,0,0
74,1004,1,1,0,0,0
75,1005,1,1,0,0,0
76,1006,1,1,0,0,0
77,1007,1,1,1,0,0
78,1008,1,1,0,1,0
79,1009,1,1,0,0,0
80,1000,1,1,0,0,0
81,1001,1,1,0,0,0
82,1002,1,1,0,0,1
83,1003,1,1,0,0,0
84,1004,1,1,0,0,0
85,1005,1,1,0,0,0
86,1006,1,1,0,0,0
87,1007,1,1,1,0,0
88,1008,1,1,0,1,0
89,1009,1,1,0,0,0
90,1000,1,1,0,0,0
91,1001,1,1,0,0,0
92,1002,1,1,0,0,1
93,1003,1,1,0,0,0
94,1004,1,1,0,0,0
95,1005,1,1,0,0,0
96,1006,1,1,0,0,0
97,1007,1,1,0,0,0
98,1008,1,1,0,1,0
99,1009,1,1,0,0,0
