,Babysitterid,Babysitter_Skills_Totalnum,Child_Needs_Totalnum,Babysitter_Relevant_Skills_num,Favorites_totalnum,Babysitter_Total_Reviews_got
0,90669640-e0ec-4d81-acf8-4d395b6d61cf,0,0,0,0,0
1,270214d4-df4c-4a1e-892f-e072054314b9,1,0,0,1,1
2,a9045348-64e9-468e-8184-c79f0c4f7cb5,5,0,0,2,2
3,469470b7-adc9-4b2e-b8b0-72c2b304630f,1,0,0,3,3
4,94f0fc92-4001-4d0e-95fa-1e5f04cd9b19,3,0,0,2,2
5,9a7eeafe-10fe-4880-8da3-961a4f074335,5,0,0,2,3
6,6a53e64b-ce77-4bdd-9f2a-6b9f7e06e0ad,4,0,0,1,1
7,4cc09555-f6d7-4491-8276-c9b3369b63cb,4,0,0,2,2
8,50797001-f6d8-45ac-b330-a26b3f8061ad,3,0,0,2,3
9,6f6499a7-a41b-477d-a081-a64460fb2f3d,1,0,0,1,1
10,8ece289c-2cb6-4ecc-a285-02b39139312e,4,0,0,1,1
11,6bdbcfd1-86fd-4cc3-a314-3e998c164fb3,3,0,0,1,1
