,First Aid and CPR Certified,Multilingual – Fluent in Hebrew and English,Special Education Training,Music and Instrument Teaching,Art and Craft Guidance,"Sports Coaching – Soccer, Basketball",Swimming Instructor,Cooking – Special Dietary Meals Preparation,"Academic Tutoring – Math, Science, Literature",Behavioral Management Techniques for ADHD,Sign Language Proficiency,Early Childhood Education Certification,Dance and Movement Therapy,Yoga and Mindfulness for Kids,Therapeutic Storytelling,Sensory Integration Activities for Autism,Computer Programming and Coding for Kids,Outdoor Survival Skills,Pet Care and Animal Therapy,Environmental Education and Recycling
General Homework Assistance,,,,,,,,,1,,,,,,,,,,,
Nut Allergy,1,,,,,,,,,,,,,,,,,,,
Routine Structuring for ADHD,,,,,,,,,,1,,1,,,,,,,,
Basic Sign Language Skills,,,,,,,,,,,1,,,,,,,,,
Diabetes Management,1,,,,,,,,,,,,,,,,,,,
Asthma Care,1,,,,,,,,,,,,,,,,,,,
Gluten-Free Diet,,,,,,,,1,,,,,,,,,,,,
Emotional Support for Anxiety,,,,,,,,,,,,,,1,,,,,,
Physical Therapy Exercises,,,,,,,,,,,,,1,,,,,,,
Speech Therapy Practices,,,,,,,,,1,,,,,,,,,,,
Social Skills Development,,,,,1,,,,,,,,,,,,,,,
Sensory Processing Support,,,,,,,,,,,,,,1,,1,,,,
Epilepsy Care,1,,,,,,,,,,,,,,,,,,,
Dairy Intolerance,,,,,,,,1,,,,,,,,,,,,
Vegetarian Diet Needs,,,,,,,,1,,,,,,,,,,,,
Lactose Intolerance Management,,,,,,,,1,,,,,,,,,,,,
Fine Motor Skill Activities,,,,1,1,,,,,,,,,,,,,,,
Gross Motor Skill Activities,,,,,,1,1,,,,,,,,,,,,,
Visual Impairment Support,,,,,,,,,,,,,,,,,,,1,
Hearing Impairment Support,,,,,,,,,,,1,,,,,,,,,
